Admin1Name,PeriodStartDate,PeriodEndDate,CountValue
WISCONSIN,11/30/1947,12/6/1947,71
WISCONSIN,12/7/1947,12/13/1947,98
WISCONSIN,12/14/1947,12/20/1947,100
WISCONSIN,12/21/1947,12/27/1947,87
WISCONSIN,12/28/1947,1/3/1948,0
WISCONSIN,1/4/1948,1/10/1948,187
WISCONSIN,1/11/1948,1/17/1948,217
WISCONSIN,1/18/1948,1/24/1948,275
WISCONSIN,1/25/1948,1/31/1948,234
WISCONSIN,2/1/1948,2/7/1948,311
WISCONSIN,2/8/1948,2/14/1948,350
WISCONSIN,2/15/1948,2/21/1948,506
WISCONSIN,2/22/1948,2/28/1948,557
WISCONSIN,3/7/1948,3/13/1948,851
WISCONSIN,3/14/1948,3/20/1948,1138
WISCONSIN,3/21/1948,3/27/1948,1401
WISCONSIN,3/28/1948,4/3/1948,1754
WISCONSIN,4/4/1948,4/10/1948,1953
WISCONSIN,4/11/1948,4/17/1948,1891
WISCONSIN,4/18/1948,4/24/1948,1995
WISCONSIN,4/25/1948,5/1/1948,2045
WISCONSIN,5/2/1948,5/8/1948,2079
WISCONSIN,5/9/1948,5/15/1948,1836
WISCONSIN,5/23/1948,5/29/1948,1765
WISCONSIN,6/6/1948,6/12/1948,1574
WISCONSIN,6/13/1948,6/19/1948,1518
WISCONSIN,6/20/1948,6/26/1948,1460
WISCONSIN,6/27/1948,7/3/1948,1211
WISCONSIN,7/4/1948,7/10/1948,969
WISCONSIN,8/1/1948,8/7/1948,234
WISCONSIN,8/8/1948,8/14/1948,177
WISCONSIN,8/29/1948,9/4/1948,87
WISCONSIN,9/5/1948,9/11/1948,73
WISCONSIN,9/12/1948,9/18/1948,48
WISCONSIN,9/19/1948,9/25/1948,48
WISCONSIN,9/26/1948,10/2/1948,53
WISCONSIN,10/3/1948,10/9/1948,50
WISCONSIN,10/10/1948,10/16/1948,76
WISCONSIN,10/17/1948,10/23/1948,67
WISCONSIN,10/24/1948,10/30/1948,60
WISCONSIN,10/31/1948,11/6/1948,104
WISCONSIN,11/7/1948,11/13/1948,135
WISCONSIN,11/14/1948,11/20/1948,237
